id,type,title,area_m2,rooms,floor,price_zl,price_per_m2,street,district,city,project,lat,lon,dist_km,dist_tram,tram_name,drive_tram_km,drive_tram_name,drive_rail_km,drive_rail_name,drive_ratusz_km,url
68196289,dom,✅ Konarzewo/ 4 pokoje +salon/ Iii  kw 2026✅,106.1,5,,749000,7059,,Dopiewo,Konarzewo,,52.34006,16.70835,17.1,9.85,Junikowo,16.96,Rondo Skubiszewskiego,6.74,Palędzie,22.86,https://www.otodom.pl/pl/oferta/konarzewo-4-pokoje-salon-iii-kw-2026-ID4C8Y9
68195755,dom,"✅Działka 405 m2, Spokojna Okolica✅",118.57,5,,749000,6317,,Robakowo,Dachowa,,52.3022,17.0894,15.8,10.68,Franowo,13.87,Szwedzka,4.66,Gądki,18.17,https://www.otodom.pl/pl/oferta/dzialka-405-m2-spokojna-okolica-ID4C8Px
68046395,dom,"PROMOCJA Dom Gardenia w Rokietnicy. Duży ogród, pełna infrastruktura",101.4,6,,749000,7387,Gajowa,Rokietnica,Rokietnica,,52.51359,16.74704,17.2,12.78,Os. Sobieskiego,16.29,Os. Sobieskiego,2.38,Rokietnica,24.7,https://www.otodom.pl/pl/oferta/promocja-dom-gardenia-w-rokietnicy-duzy-ogrod-pelna-infrastruktura-ID4BwYw
68046511,dom,"PROMOCJA Dom Gardenia w Rokietnicy. Duży ogród, pełna infrastruktura",101.4,6,,749000,7387,ul. Gajowa,Rokietnica,Rokietnica,,52.51359,16.74704,17.2,12.78,Os. Sobieskiego,16.29,Os. Sobieskiego,2.38,Rokietnica,24.7,https://www.otodom.pl/pl/oferta/promocja-dom-gardenia-w-rokietnicy-duzy-ogrod-pelna-infrastruktura-ID4Bv0n
67089245,dom,Forall Osiedle Harmonia  | 4-pok. | 4_1,93.8,4,,749000,7985,ul. Stajenna,Pawłowice,Pawłowice,Forall Osiedle Harmonia,52.49561,16.79521,13.5,8.99,Os. Sobieskiego,13.91,Lutycka Szpital,2.61,Kiekrz,18.23,https://www.otodom.pl/pl/oferta/forall-osiedle-harmonia-4-pok-4-1-ID4xuYB
68141088,dom,5 pok./ gaz/ gotowy lipiec 2026r,106.1,5,,749000,7059,Dopiewska,Konarzewo,Konarzewo,,52.34075,16.6988,17.6,10.39,Junikowo,17.18,Rondo Skubiszewskiego,8.97,Palędzie,23.08,https://www.otodom.pl/pl/oferta/5-pok-gaz-gotowy-lipiec-2026r-ID4BUBO
60462790,dom,Ostatnie 3 domy parterowe. Zapraszamy!,96,4,,749000,7802,,Rokietnica,Rokietnica,,52.51359,16.74704,17.2,12.78,Os. Sobieskiego,16.29,Os. Sobieskiego,2.38,Rokietnica,24.7,https://www.otodom.pl/pl/oferta/ostatnie-3-domy-parterowe-zapraszamy-ID45H8i
68127815,dom,5 pok./ gaz/ gotowy II kwartał 2026r,111.9,5,,749000,6693,Bajkowa,Dopiewiec,Dopiewiec,,52.37378,16.68017,17.6,10.54,Junikowo,14.45,Cmentarna,7.48,Palędzie,27.76,https://www.otodom.pl/pl/oferta/5-pok-gaz-gotowy-ii-kwartal-2026r-ID4BR9J
66734907,dom,"PROMOCJA Dom Gardenia w Rokietnicy. Duży ogród, pełna infrastruktura",101.36,6,,749000,7390,ul. Gajowa,Rokietnica,Rokietnica,,52.50106,16.72828,17.3,13.45,Os. Sobieskiego,18.91,Ogrody,4.34,Rokietnica,23.42,https://www.otodom.pl/pl/oferta/promocja-dom-gardenia-w-rokietnicy-duzy-ogrod-pelna-infrastruktura-ID4v0Nt
68046444,dom,PROMOCJA Gotowy Dom pod Poznaniem GARDENIA. Duży ogród,101.4,6,,749000,7387,,Rokietnica,Rokietnica,,52.51359,16.74704,17.2,12.78,Os. Sobieskiego,16.29,Os. Sobieskiego,2.38,Rokietnica,24.7,https://www.otodom.pl/pl/oferta/promocja-gotowy-dom-pod-poznaniem-gardenia-duzy-ogrod-ID4BwZi
67793506,dom,"✅Działka 405 m2, Spokojna Okolica✅",118.57,5,,749000,6317,,Robakowo,Dachowa,,52.3022,17.0894,15.8,10.68,Franowo,13.87,Szwedzka,4.66,Gądki,18.17,https://www.otodom.pl/pl/oferta/dzialka-405-m2-spokojna-okolica-ID4AsbE
66053520,dom,"EKO Nowoczesny 101 m2, wys. standard + dz. 400 m2",101.15,4,,749000,7405,Nagietkowa,Dachowa,Dachowa,,52.30419,17.10051,16.2,10.94,Franowo,15.21,Szwedzka,6.0,Gądki,19.51,https://www.otodom.pl/pl/oferta/eko-nowoczesny-101-m2-wys-standard-dz-400-m2-ID4t9xm
67801699,dom,"Bliźniak 98,5 m2 - podwójna ściana- taras od południa -własność gruntu",98.5,4,,750000,7614,,Rokietnica,Rokietnica,,52.50471,16.72862,17.5,13.56,Os. Sobieskiego,19.7,Os. Sobieskiego,4.24,Rokietnica,24.62,https://www.otodom.pl/pl/oferta/blizniak-98-5-m2-podwojna-sciana-taras-od-poludnia-wlasnosc-gruntu-ID4AujN
68015635,dom,"Własność gruntu - bliźniak 98,5 m2 - podwójna ściana-taras od południa",98.5,4,,750000,7614,,Rokietnica,Rokietnica,,52.50458,16.72952,17.5,13.49,Os. Sobieskiego,19.55,Os. Sobieskiego,4.09,Rokietnica,24.47,https://www.otodom.pl/pl/oferta/wlasnosc-gruntu-blizniak-98-5-m2-podwojna-sciana-taras-od-poludnia-ID4BnYn
68013667,dom,Świetne domy/ciekawy projekt/wysoki standard/wszystkie media,98.5,4,,750000,7614,,Rokietnica,Rokietnica,,52.51359,16.74704,17.2,12.78,Os. Sobieskiego,16.29,Os. Sobieskiego,2.38,Rokietnica,24.7,https://www.otodom.pl/pl/oferta/swietne-domy-ciekawy-projekt-wysoki-standard-wszystkie-media-ID4BnsD
66346521,dom,Energoszczędny dom w Robakowie,120,5,,750000,6250,Poznańska,Robakowo,Robakowo,,52.30727,17.07464,14.8,9.66,Franowo,12.51,Szwedzka,3.36,Gądki,16.81,https://www.otodom.pl/pl/oferta/energoszczedny-dom-w-robakowie-ID4unLb
66463426,dom,Twój nowy dom w zielonej części Dopiewca – komfort,98,4,,750000,7653,,Dopiewiec,Dopiewiec,,52.36781,16.70354,16.3,9.07,Junikowo,13.02,Cmentarna,6.05,Palędzie,25.8,https://www.otodom.pl/pl/oferta/twoj-nowy-dom-w-zielonej-czesci-dopiewca-komfort-ID4uSaK
66686232,dom,Segment bliźniaka - Tarnowo Podgórne,88.84,4,,750000,8442,,Tarnowo Podgórne,Tarnowo Podgórne,,52.46981,16.64626,20.6,15.97,Junikowo,20.13,Cmentarna,17.85,Kiekrz,24.1,https://www.otodom.pl/pl/oferta/segment-blizniaka-tarnowo-podgorne-ID4wO8o
66800596,dom,Promno Park_38,88.47,4,,751995,8500,ul.Rzepichy,Promno-Stacja,Promno,Promno Park,52.47224,17.21312,20.2,15.86,Miłostowo,19.68,Mogileńska,10.13,Kobylnica,22.83,https://www.otodom.pl/pl/oferta/promno-park-38-ID4vhSY
66332241,mieszkanie,4-pokojowe mieszkanie 80m2 + taras Bez Prowizji,80.74,4,4,757129,9377,Bielicowa,Naramowice,Poznań,Naramowice Odnova,52.44846,16.96199,4.9,1.15,Os. Łokietka,1.71,Naramowice,5.43,Poznań Wschód,6.83,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-80m2-taras-bez-prowizji-ID4uk2R
68196293,dom,✅ Chomęcice /I kwartał 2027 ✅,112,5,,759000,6777,,Konarzewo,Chomęcice,,,,,,,,,,,,https://www.otodom.pl/pl/oferta/chomecice-i-kwartal-2027-ID4C8Yd
68159653,dom,Pięknie położona Działka/droga gminna z kostki ! CENA Przedsprzedażowa,89,5,,759000,8528,ul. Gościniec,Dąbrówka,Dąbrówka,,52.37851,16.7515,12.8,5.67,Junikowo,9.14,Cmentarna,3.33,Palędzie,24.3,https://www.otodom.pl/pl/oferta/pieknie-polozona-dzialka-droga-gminna-z-kostki-cena-przedsprzedazowa-ID4BZrf
65667592,dom,"Bezpośrednio Dom na Sprzedaż Sasinowo, Rogalinek",104.92,5,,759000,7234,Poznańska 1B,Sasinowo,Rogalinek,,52.25816,16.9038,16.8,12.42,Starołęka PKM,12.8,Starołęka PKM,4.95,Puszczykówko,19.02,https://www.otodom.pl/pl/oferta/bezposrednio-dom-na-sprzedaz-sasinowo-rogalinek-ID4rx8I
68127818,dom,6 pokoi/ gaz/kanaliza/ światłowód/gotowy XI 2025,107.1,6,,759000,7087,,Mosina,Mosina,,52.24541,16.84706,19.0,14.69,Dębiec PKM,15.54,Dębiec PKM,1.25,Mosina,20.49,https://www.otodom.pl/pl/oferta/6-pokoi-gaz-kanaliza-swiatlowod-gotowy-xi-2025-ID4BR9M
68127817,dom,6 pokoi/ gaz/kanaliza/ światłowód/gotowy XI 2025,107.1,6,,759000,7087,Kamienna,Krosno,Krosno,,52.22375,16.82914,21.7,17.35,Dębiec PKM,18.56,Dębiec PKM,2.72,Mosina,23.5,https://www.otodom.pl/pl/oferta/6-pokoi-gaz-kanaliza-swiatlowod-gotowy-xi-2025-ID4BR9L
67853846,dom,"Dom, 86 m², Borówiec",86,5,,760000,8837,ul. Kempingowa,Borówiec,Borówiec,,52.2732,17.05041,17.0,12.51,Franowo,16.37,Szwedzka,4.44,Gądki,20.67,https://www.otodom.pl/pl/oferta/dom-86-m-borowiec-ID4AHSS
